authority,station_name,longitude,latitude,time,flood_depth_cm
宜蘭縣政府水利資源處,冬山鄉東六路(北側溝排水第一段),121.8086,24.666449,2025-11-10T13:55:00Z,0.0
第七河川分署,東港鎮_東隆里共和街52號,120.54183,22.90036,2025-11-10T13:00:41Z,0.0
第七河川分署,東港鎮_東隆里共和街52號,120.54183,22.90036,2025-11-10T13:00:41Z,13.493342399597
水利署水文技術組,石門(後池),121.2455,24.817482,2025-11-10T13:10:00Z,136.67
水利署水文技術組,宜農(2),121.74475,24.746986,2025-11-10T13:10:00Z,8.683
雲林縣政府水利處,楊賢村_自強大橋,120.399,23.819723,2025-11-10T13:09:12Z,0.0
雲林縣政府水利處,楊賢村_自強大橋,120.399,23.819723,2025-11-10T13:09:12Z,-65.0
雲林縣政府水利處,楊賢村_自強大橋,120.399,23.819723,2025-11-10T13:09:12Z,13.607889175415
桃園巿政府水務局(智慧防汛),環中東路二段293號,121.2362,24.948751,2025-11-10T13:05:00Z,0.0
水利署水文技術組,麟洛(4),120.52265,22.64889,2025-11-10T13:10:00Z,25.311
水利署水文技術組,仁德(1),120.25513,22.961752,2025-11-10T13:10:00Z,1.405
水利署水文技術組,北埔(2),121.60606,24.032036,2025-11-10T13:10:00Z,12.659
水利署水文技術組,田尾(2),120.527374,23.89138,2025-11-10T13:10:00Z,15.632
台中市政府水利局,西區英才路與向上路口,120.66514,24.146461,2025-11-10T13:07:00Z,0.0
台中市政府水利局,西屯區西安南巷5號,120.63891,24.177938,2025-11-10T13:32:00Z,0.0
水利署水文技術組,四德大橋,120.58815,23.089859,2025-11-10T13:10:00Z,250.41
臺南市政府水利局,鹽水區-孫厝里羊稠厝14號前(編號233),120.21397,23.284088,2025-11-10T14:00:00Z,0.0
基隆市政府水利科,中正區真砂里中正路318巷33號,121.7623,25.142153,2025-11-10T13:27:00Z,0.0
臺南市政府水利局,永康區-蔦松三街147巷36號(編號240),120.25763,23.0489,2025-11-10T14:00:00Z,0.0
台中市政府水利局,清水區三順路,120.55084,24.2975,2025-11-10T13:48:00Z,0.0
新北市政府水利局(智慧防汛),三峽區三樹路40號,121.37766,24.93779,2025-11-10T13:05:00Z,0.0
水利署水文技術組,永和(1),121.50526,25.011314,2025-11-10T13:10:00Z,2.117
桃園市政府水務局(智慧地下),物聯網量水設備(中央大學13號井),121.190056,24.970581,2025-11-10T13:30:00Z,0.0
第四河川分署,二林溪庄挖仔排水淹水監控站,120.4394,23.9511,2025-11-10T13:10:00Z,0.0
農田水利署嘉南管理處,角秀小給1-1,120.33682,23.208572,2025-10-23T22:06:36Z,0.039
台中市政府水利局,外埔區長生路58之9號,120.665184,24.344835,2025-11-10T14:01:00Z,0.0
水利署水文技術組,稜角,121.008934,24.012712,2025-11-10T13:20:00Z,531.09
水利署水文技術組,太康(2),120.32944,23.289684,2025-11-10T13:10:00Z,-11.341
新北市政府水利局(智慧防汛),五股區成泰路一段98巷,121.451485,25.073858,2025-11-10T13:40:00Z,0.0
第九河川分署,鳳林鎮鳳仁里-中正路二段311號,121.4486,23.75283,2025-11-10T13:51:00Z,0.0
桃園巿政府水務局(智慧防汛),長興路四段60巷-2,121.27167,25.071127,2025-11-10T13:05:00Z,0.0
水利署水文技術組,貴林(2),120.213715,23.419184,2025-11-10T13:10:00Z,-23.025
台中市政府水利局,太平區正光街197巷23號,120.73373,24.106998,2025-11-10T13:08:00Z,0.0
水利署水文技術組,覽勝橋,121.55125,24.862106,2025-11-10T13:10:00Z,110.09
第七河川分署,高屏溪(美濃溪)廣福2+970水門(1~5),120.50489,22.868305,2025-11-10T13:06:01Z,100.0
第七河川分署,高屏溪(美濃溪)廣福2+970水門(1~5),120.50489,22.868305,2025-11-10T13:06:01Z,0.0
第七河川分署,高屏溪(美濃溪)廣福2+970水門(1~5),120.50489,22.868305,2025-11-10T13:06:01Z,100.0
第七河川分署,高屏溪(美濃溪)廣福2+970水門(1~5),120.50489,22.868305,2025-11-10T13:06:01Z,0.0
第七河川分署,高屏溪(美濃溪)廣福2+970水門(1~5),120.50489,22.868305,2025-11-10T13:06:01Z,100.0
第一河川分署,ZD302,121.8034,24.7406,2025-11-10T13:09:09Z,64.0
內政部營建署,草屯水資源回收中心,120.6725,23.960999,2025-11-10T14:00:00Z,13.88
內政部營建署,草屯水資源回收中心,120.6725,23.960999,2025-11-10T14:00:00Z,184.0
內政部營建署,草屯水資源回收中心,120.6725,23.960999,2025-11-10T14:00:00Z,9.3
水利署水文技術組,龍潭(1),121.21641,24.854925,2025-11-10T13:10:00Z,226.537
水利署水文技術組,海寶(2),120.82076,24.661232,2025-11-10T13:10:00Z,7.863
農田水利署高雄管理處,南幹線一號制水門及主給二閘門監控站,120.330536,22.886347,2025-11-10T13:01:56Z,-2.6645353649795e-16
宜蘭縣政府水利資源處,五結鄉協和二號橋,121.81676,24.681444,2025-11-10T13:03:00Z,0.0
農田水利署嘉南管理處,角秀小給3,120.33579,23.20705,2025-11-10T13:01:34Z,0.574
臺南市政府水利局,麻豆區-南49-2線(道安公路)高速公路涵洞(編號204),120.23076,23.156942,2025-11-10T14:00:00Z,0.0
嘉義縣政府水利處,嘉義縣-002,120.1482,23.4543,2025-11-10T13:02:27Z,0.0
嘉義縣政府水利處,嘉義縣-002,120.1482,23.4543,2025-11-10T13:02:27Z,0.0
水利署水文技術組,台南(4),120.13507,23.03023,2025-11-10T13:10:00Z,-0.453
